,time,x_r,x_w,u_r,u_w,K_ext,a
0,0.0,44.0,65.0,33.49901931974436,49.46099257090775,0.8535029699391019,0.0
1,1.0,41.272467596111994,65.50019128391885,31.282922895439917,47.849414979473025,0.7740971730497876,-0.10002274632972713
2,2.0,40.80885386066764,64.60270190036086,28.500661043614656,48.9805083805613,0.7745347628948102,-0.14255352873424296
3,3.0,38.646209647992286,64.97449491153286,28.288404795974426,48.49905076469991,0.6589278796443349,-0.20944993501432468
4,4.0,40.71400432039453,64.81140663175889,30.841938541964563,48.12309847092477,0.5910116432947601,-0.3275155661003205
5,5.0,45.832740525435334,64.46988251213507,27.56204678220045,48.795473855168126,0.6713935388708426,-0.22579860011527259
6,6.0,43.494938633763574,64.78158160525439,32.75247148024402,50.5822249407855,0.6874284811061168,-0.3030741560618687
7,7.0,45.55802655808343,66.18581735626567,30.633717999022252,52.94101952362951,0.6979333536271892,-0.14703307833940432
8,8.0,44.721055477526825,68.50856986228014,35.17985200477528,56.99822481484497,0.6571279041941518,-0.2836524486760396
9,9.0,48.96677195596969,72.46005013054719,25.551130060291577,51.85180635532397,0.8247078317278622,0.002671260024826594
10,10.0,38.86588130023366,70.70603387209238,29.022439817200627,49.51490476932398,0.7629588679721595,-0.10774891117619025
11,11.0,38.424735199536954,68.23345867790135,25.8624808892465,48.727300234492944,0.6998119442533229,-0.12451621462539982
12,12.0,37.685655395128265,66.51140818829221,31.87096195524958,53.198146261056,0.6895354639720627,-0.13309220586199122
13,13.0,41.937845294770895,68.84325972185408,30.830451109481835,52.82265793564255,0.7112197928680246,-0.04567955058764621
14,14.0,42.655905411620054,69.68058811112964,28.643339929447592,51.233457500362945,0.7238387737778056,0.06611342530751979
15,15.0,41.067056245399776,68.95809360724556,31.871570286103054,50.58399203741798,0.8743717228778942,0.0711349115113212
16,16.0,38.37636562520892,68.1599050854702,33.18683200698244,51.632247128065,0.7367822821840627,0.05742269902161251
17,17.0,41.8519677291016,68.52032679042873,33.203445039152925,52.141680003106295,0.8330028989032674,0.18913274487156226
18,18.0,40.7259574755335,69.04896970525525,29.452521970170427,47.32933956274885,0.8554737754557127,0.27961124261527043
19,19.0,37.10532878149816,65.91314723475642,29.068291881992906,47.06066787600812,0.8095877233118437,0.3422002076394308
20,20.0,36.43922676537631,64.24287605099609,25.43659500081181,54.56968903054945,0.8488798931641759,0.27496666151820104
21,21.0,32.73522112844827,68.73657675869167,28.733860249388563,52.57230004479544,0.8335608523941923,0.21191485279909136
22,22.0,33.71693013103612,69.45406501747973,34.86019346094661,47.36869483620375,0.8397323660871422,0.3188439446674112
23,23.0,38.14671335695286,66.13218760018691,31.909258010263013,49.394277022281564,0.9332441053650004,0.3971866438901969
24,24.0,35.74714718622277,65.98806369528003,30.101378641730584,48.93166433321914,0.8391686946811463,0.3206241552192254
25,25.0,35.817188088417836,65.59453119734148,31.939241693264734,54.85937237745938,0.8643612845682287,0.3716368536709602
26,26.0,36.47345427943738,69.57884895811378,34.94666930034563,46.25996670454658,0.7740462962646198,0.20741727144359376
27,27.0,41.14780967567523,65.41112862351403,26.86072918352439,48.89147273895709,0.9004542347304122,0.07829252339579108
28,28.0,34.42950662179251,65.29373107610613,31.265248600375894,46.449541069461525,0.7594562802892005,0.05181972673657281
29,29.0,38.01488564028226,63.52034996822568,31.096689390852262,49.11742385448653,0.8013487640170853,0.05962244628495176
30,30.0,38.45069845278049,64.55954965443476,25.47924541175715,52.245158229748924,0.7266088250307379,-0.13942330162851574
31,31.0,36.70264342600511,67.25082919300856,27.557008943297934,50.25303314907517,0.6378407589611387,-0.18211513061804885
32,32.0,39.768279244731836,67.1206171733717,32.522702304906524,52.51915132308493,0.6921777401198406,0.0013882560789335863
33,33.0,43.37366752254109,68.6533490414524,32.33332586200264,48.516907564703075,0.8221196051582359,0.0112282315504857
34,34.0,41.106753108795566,66.56173672447031,30.241381706776505,49.94438049964472,0.7485641978127644,0.11998376110588654
35,35.0,40.73389547074805,66.57797232673433,24.482550068035117,53.635281858470975,0.7861168590306178,0.21176069390556113
36,36.0,35.51306837986104,69.18223215433687,32.258086022727426,49.7342732495193,0.9120203564003337,0.47228126606282134
37,37.0,35.42742372953431,67.66799393578933,28.49293909502917,47.25865725713034,0.947229668866238,0.3181317278432393
38,38.0,32.15398023408983,65.21109468127341,25.656293867971378,55.64636579519476,0.7490669278040853,0.13623816991334722
39,39.0,33.2595150839454,69.9513850895725,26.25224137479024,55.182856271277686,0.8260230627291437,0.22302990353962074
40,40.0,32.428548397667214,71.86445555375323,33.28514454752315,52.08636962800863,0.9217972265126764,0.2793926555578379
41,41.0,34.64488307615221,70.58971280950516,24.360623436010574,54.46075030514367,0.929518502958819,0.300568563474713
42,42.0,29.53827813659929,71.65797052926699,30.09839568399315,52.34580129289503,0.7298983271510562,0.10579247391336774
43,43.0,35.59840826528068,70.67468929846525,26.787500367646714,48.58339558432668,0.8282877506943399,0.284190037594436
44,44.0,33.76372012103985,67.56332532301984,25.125119140109266,50.70172794475388,0.9775494118974027,0.4956395035225699
45,45.0,28.735168749731727,67.58389173785352,30.72687673063009,53.435584139793626,0.9698126906389658,0.5515759306744186
46,46.0,30.565510691385796,69.51690525001447,28.743865540079476,50.715512221815914,0.8775842731975964,0.4385854200429846
47,47.0,31.843703837299365,68.51639495604908,32.38850193806223,51.1581886918608,0.8987254705140594,0.2274737998919628
48,48.0,34.330705634653036,68.35521523129096,34.11413779150534,49.73206131011616,0.7845220929916362,0.23574244946748163
49,49.0,39.30699188569918,67.27578264414343,25.78355843789096,49.75927610391807,0.7821553430427737,0.25329783223333224
50,50.0,35.86581442712689,66.78504070916838,32.86125020008845,50.3518325473424,0.8668502158934502,0.25922050244725126
51,51.0,37.05018699936028,66.97010076509075,28.933843509385284,48.003642877528435,0.7908440209860735,0.08047818921895855
52,52.0,36.79650781906604,65.40553907908918,28.565151124818733,52.11847168473661,0.7557344872724588,-0.08106254423858297
53,53.0,37.32756275717689,67.56132087359545,23.136966878796333,54.10026875878102,0.6861203589609219,-0.26030442001446297
54,54.0,35.537216019258445,69.97385669630438,27.13904638732958,53.22493091455378,0.6053982248263687,-0.39555641250574325
55,55.0,39.75675157587983,70.497647844532,24.482760451631005,43.14702704633764,0.5761760038054076,-0.40583585936941324
56,56.0,40.954587528724275,63.655150284061456,27.593951351395912,45.748862441138485,0.6092101121281926,-0.43363284568027405
57,57.0,42.93460429098368,62.25340387382936,34.35369386834626,47.80862228050591,0.6244192757184617,-0.2636306011162358
58,58.0,48.54601669542397,63.04033003884697,27.68547593863854,48.63053248322073,0.5990700803933363,-0.3369664471002511
59,59.0,47.495067127906424,63.99027075379497,30.32978811965547,48.7710783583156,0.7027241993239891,-0.0829877657734191
60,60.0,45.30702617795163,64.53786654164948,26.401832711648673,42.65352463626014,0.6729149084836581,-0.0862707006774999
61,61.0,42.33307597159027,60.49276451601216,34.96157755256884,48.991380747046314,0.6874386200408631,-0.13974893643798536
62,62.0,46.571008768790506,63.04074679656653,31.88983011813135,47.52715678744234,0.7315488781769213,-0.3267341145024896
63,63.0,45.02549661823664,63.21423034732322,32.48562119012681,48.817812277453,0.6640141887644788,-0.36779733547923266
64,64.0,46.91668050807739,64.20416886467305,30.973613080905505,44.23279633473948,0.698715920832707,-0.2697287421246184
65,65.0,45.61582432851775,61.44617231242772,26.78219479805766,50.89203208242841,0.6949295158641233,-0.20240950807238076
66,66.0,42.07133184075938,64.82823435224209,28.73294535312001,55.08822828641026,0.592489329239683,-0.19499813133869262
67,67.0,44.943170785003716,69.37787864272707,26.439065738893486,50.92861042549515,0.6209270356462102,-0.10849592141575382
68,68.0,43.85007105445428,68.60064036970728,33.7894075994815,51.257706234967365,0.6987558777152805,-0.09786800958461778
69,69.0,46.11590144911224,68.46502165765308,33.046660618262464,50.02837172246207,0.7354685718273154,-0.15333282561650646
70,70.0,45.49983667637557,67.53610921557514,26.696255938062794,50.76882750999327,0.7341707781139271,-0.09044785945784606
71,71.0,40.74751695062318,67.6182410588265,29.09792723785974,53.072770442064524,0.7227511560041116,-0.20467400363002847
72,72.0,40.4966235968623,69.2778872260542,33.7258020680414,49.01036281298267,0.761970595215407,-0.2824567448365886
73,73.0,42.50414837207394,67.20389899280961,31.56356729195577,50.58693785563992,0.7601917589525429,-0.21949631524105984
74,74.0,41.98044886864859,67.3333546434343,30.38188510204619,47.48206744764876,0.6917915947900722,-0.4878760279379678
75,75.0,42.947752811514185,65.21019389234769,27.553750251455458,52.48389890574173,0.4994779394258688,-0.5411383418531099
76,76.0,47.7510345837247,67.72612847908597,25.17873171410542,50.69744008309216,0.6408612683825132,-0.3709224157502477
77,77.0,43.74707626215758,67.6577779462652,31.22347661224466,47.948309788281904,0.5671776180045431,-0.45043076920775943
78,78.0,48.64010890117883,65.69144726803093,28.80816292141941,45.84625148736019,0.5835359465401078,-0.5750554135574277
79,79.0,48.962014926511266,63.28379676967334,30.18540953476285,41.6995641500433,0.5885942653414511,-0.5295482733357506
80,80.0,49.99500525300867,59.22926194050891,27.248308129206535,48.26133912075983,0.5968433654402293,-0.5743966608479595
81,81.0,48.043942320775415,61.93031795555951,31.033848000270392,49.21224144145307,0.48681625861139377,-0.5264320257313129
